#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2NI
#Serial Number: SN:210321AD15AA
#Date Time: 2022-03-14 14:12:28.466
#Start: 0.5 Hz
#Stop: 100000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.52613 V
#Offset: -2.49971 V
#Relative: no
#Channel: Channel 2
#Range: 5.56343 V
#Offset: -1.66998 V
#Relative: yes
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 3.3 V
#Negative Supply: Rdy
#Voltage: -1 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.5,0.0117498524332662,5.405544971078933,258.8088771925945
0.5423881646535187,0.01419497136366388,6.077824879923749,257.9372362673363
0.5883698423124237,0.01317246829172835,6.75029706031231,256.9942645645984
0.6382496778186314,0.01573194163343266,7.413500996268353,255.926392793101
0.6923581426854929,0.01324423864776854,8.073537175062992,254.8358817516159
0.751053724588207,0.01296695844446276,8.725204618435843,253.6798789621226
0.814725302471172,0.01267485767017933,9.37014850761028,252.4070092515599
0.8837947230082438,0.01312118759084441,10.00499634704218,251.0833566835283
0.9587195954858106,0.01302066732855096,10.63061650796886,249.6319983071273
1.039996323625825,0.01325436417658649,11.24318589040128,248.1132023530291
1.128163394435634,0.01440734424703471,11.8433611052312,246.5164823091319
1.223804945874455,0.01279412421986656,12.42985508398717,244.8085632351122
1.327554636973486,0.01336968323712486,12.99677816163737,243.0109186590672
1.440099846050634,0.0126107949004254,13.54830296036867,241.1342735304605
1.562186224834437,0.01344719506323677,14.07910612478739,239.1347270169623
1.694622638669915,0.01209546767578556,14.58832529991562,237.107600355477
1.838286525536956,0.01324815547211568,15.07273043346483,234.9842931661377
1.994129709386563,0.01152577234450069,15.5351976636007,232.8169823703184
2.163184706310465,0.0128404260603794,15.96925902574577,230.5794664493155
2.346571565324588,0.01318021617586423,16.37752353156031,228.3092489510542
2.54550528908907,0.0120398805956963,16.75975809424156,226.0257639170763
2.76130388372969,0.01198320077369494,17.11200707342522,223.7304761607988
2.995397091093554,0.01105489703010057,17.43764221004939,221.4412560453524
3.249335861293443,0.01176087543637518,17.73449016601636,219.1731871174607
3.524802628299614,0.00951627775899249,18.00613117583282,216.9441240653285
3.823622456658645,0.01216571890977896,18.24767489487195,214.7616405738764
4.147775133190121,0.01026913014289826,18.46833344063596,212.6277331697577
4.499408283772979,0.01292725003004678,18.66223388870008,210.5687391491647
4.880851602124928,0.01075483694667494,18.83819120364627,208.6004183216092
5.294632284845452,0.01274059613912649,18.99005038951966,206.7019721841477
5.743491774985171,0.009684833313160278,19.12748693274557,204.8945420451781
6.230403925073575,0.01099201041946236,19.24610586738182,203.1719470908754
6.75859469994147,0.01011536556422515,19.35146813913684,201.534359997073
7.331563549876489,0.01122095443210803,19.43936750700823,200.0056576043598
7.953106595716291,0.01128854596956108,19.51959605347112,198.5606880740355
8.627341779488688,0.01100306070091773,19.58722919155922,197.2143395169232
9.358736147230983,0.01167435750208685,19.64583665292441,195.9384530760676
10.1521354447463,0.01115328986573701,19.6975247698763,194.7583175316806
11.01279622237975,0.01172357924603678,19.74179890584145,193.6493488390199
11.9464206615195,0.008898535522315017,19.7819328492281,192.6028953449543
12.95919435356084,0.01260410438404633,19.81207971359538,191.6576216239636
14.05782728163222,0.01126234183089661,19.84058604977566,190.7556886041328
15.24959827660131,0.01112531319777589,19.86561479627329,189.9360615441226
16.54240324189847,0.01098744182934996,19.88572966572133,189.1618747017472
17.94480746666344,0.01161520945042093,19.90372572816888,188.4485043341539
19.46610237380868,0.01333501304978021,19.91656835880186,187.7876010901449
21.11636707897515,0.01069371246191377,19.93223396800948,187.1755816760258
22.90653516823063,0.01005305929947661,19.94382561597585,186.6145339820197
24.84846713693576,0.01135907355038743,19.95311150738992,186.074923899772
26.95502896971169,0.009895953252149032,19.96279811876249,185.5937852759718
29.24017738212864,0.01180585697311415,19.96912912443225,185.1362866199795
31.7190522888722,0.01094849647290564,19.97598201842979,184.7344103945599
34.4080771110207,0.01214399311620658,19.98109204397898,184.3201485984897
37.32506758700644,0.01162635851467442,19.98520646341866,183.95749950697
40.48934980816993,0.01173528695035603,19.98947709997947,183.618695465897
43.92188826093513,0.01098775468099998,19.99353750506162,183.3111563328403
